Model,Predictor,Alpha,Perturbation,Top1,Top5,Coverage,Size
ResNet101,Fixed,0.05,brightness,0.342399999979655,0.8276666666666667,0.9125666666666666,6.5856
ResNet101,Fixed,0.05,erasure,0.32056666663614913,0.8334666666666667,0.9183666666666667,6.5955
ResNet101,Fixed,0.05,jpeg,0.34176666665649413,0.8334333333333334,0.9223333333333333,6.634833333333333
ResNet101,Naive,0.05,clean,0.434,0.8949666666666667,0.9504,6.4159
ResNet101,Naive,0.05,gaussian_noise,0.4245333332926432,0.8883666666666666,0.9502333333333334,6.4402
ResNet101,Naive,0.05,blur,0.2617666666564942,0.7658,0.8734,6.683533333333333
ResNet101,Naive,0.05,brightness,0.3423999999898275,0.8276666666259767,0.9146666666666666,6.634766666666667
ResNet101,Naive,0.05,erasure,0.321599999979655,0.8276,0.9199,6.644
ResNet101,Naive,0.05,jpeg,0.34176666664632166,0.8334666666666667,0.9235333333333333,6.687266666666667
ResNet101,APS,0.05,clean,0.434,0.8949666666259766,0.9514333333333334,6.4538
ResNet101,APS,0.05,gaussian_noise,0.42573333333333335,0.8892333332519531,0.9502,6.4698
ResNet101,APS,0.05,blur,0.26176666666666665,0.7657999999593099,0.8749666666666667,6.720433333333333
ResNet101,APS,0.05,brightness,0.34239999996948245,0.8276666666259767,0.9163333333333333,6.6658
ResNet101,APS,0.05,erasure,0.3230999999593099,0.8267,0.9198,6.694166666666667
ResNet101,APS,0.05,jpeg,0.34176666664632166,0.8334666666259766,0.9268,6.724066666666666
ResNet101,RAPS,0.05,clean,0.434,0.8949666666666667,0.9519333333333333,6.469
ResNet101,RAPS,0.05,gaussian_noise,0.4238666666463216,0.8887333332926433,0.9504333333333334,6.491366666666667
ResNet101,RAPS,0.05,blur,0.2617999999898275,0.7658,0.8768666666666667,6.715966666666667
ResNet101,RAPS,0.05,brightness,0.3423666666564941,0.8276666665852864,0.9161333333333334,6.674066666666667
ResNet101,RAPS,0.05,erasure,0.3245333332926432,0.8288666666666666,0.9206666666666666,6.6915
ResNet101,RAPS,0.05,jpeg,0.34176666664632166,0.8334666666259766,0.9255333333333333,6.730766666666667
ResNet101,Fixed,0.1,clean,0.433999999979655,0.8949666666259766,0.9008,4.997766666666666
ResNet101,Fixed,0.1,gaussian_noise,0.42633333333333334,0.8889333332519531,0.8973333333333333,5.0179
ResNet101,Fixed,0.1,blur,0.2617666666361491,0.7657999999593099,0.7844333333333333,5.335733333333334
ResNet101,Fixed,0.1,brightness,0.342399999979655,0.8276666665852864,0.8455666666666667,5.2795
ResNet101,Fixed,0.1,erasure,0.3226333333028158,0.82589999995931,0.8476666666666667,5.240266666666667
ResNet101,Fixed,0.1,jpeg,0.34176666664632166,0.8334666666259766,0.8592666666666666,5.291133333333334
ResNet101,Naive,0.1,clean,0.433999999979655,0.8950333332926432,0.9006666666666666,4.997366666666666
ResNet101,Naive,0.1,gaussian_noise,0.42419999997965496,0.887733333251953,0.8952333333333333,5.0206
ResNet101,Naive,0.1,blur,0.2617666666564942,0.7657999999593099,0.7862333333333333,5.3363
ResNet101,Naive,0.1,brightness,0.3424,0.8276666666259767,0.8475666666666667,5.277333333333333
ResNet101,Naive,0.1,erasure,0.32276666666666665,0.8286666665852864,0.8491,5.2369
ResNet101,Naive,0.1,jpeg,0.34176666664632166,0.8334666666666667,0.8585333333333334,5.295633333333333
ResNet101,APS,0.1,clean,0.433999999979655,0.8949666665852865,0.8998333333333334,4.999366666666667
ResNet101,APS,0.1,gaussian_noise,0.42569999997965496,0.8883999999186197,0.8954,5.017033333333333
ResNet101,APS,0.1,blur,0.2617666666564942,0.7658333332926432,0.7850333333333334,5.3377
ResNet101,APS,0.1,brightness,0.342399999979655,0.8276666665852864,0.8464333333333334,5.2828333333333335
ResNet101,APS,0.1,erasure,0.3288333333333333,0.8306666665852864,0.8512666666666666,5.2464
ResNet101,APS,0.1,jpeg,0.34176666666666666,0.8334666666259766,0.8576,5.291766666666667
ResNet101,RAPS,0.1,clean,0.434,0.8949666666259766,0.8975333333333333,4.9336
ResNet101,RAPS,0.1,gaussian_noise,0.4227,0.8901666665852864,0.8944,4.955033333333334
ResNet101,RAPS,0.1,blur,0.26176666666666665,0.7657999999593099,0.779,5.2594666666666665
ResNet101,RAPS,0.1,brightness,0.342399999979655,0.8276666665852864,0.8416,5.2035
ResNet101,RAPS,0.1,erasure,0.3208,0.8320333332926433,0.8458,5.167066666666667
ResNet101,RAPS,0.1,jpeg,0.34176666664632166,0.8334666666259766,0.8523,5.2127
ResNet50,Fixed,0.05,clean,0.4754333333129883,0.9043333332926433,0.9515333333333333,6.297133333333333
ResNet50,Fixed,0.05,gaussian_noise,0.4664,0.902633333251953,0.9550333333333333,6.420833333333333
ResNet50,Fixed,0.05,blur,0.3190333332926432,0.8230666666666666,0.9267666666666666,6.942166666666667
ResNet50,Fixed,0.05,brightness,0.3715333333333333,0.8501666665852864,0.9496666666666667,7.225333333333333
ResNet50,Fixed,0.05,erasure,0.35473333333333334,0.8340333333333333,0.9242666666666667,6.729633333333333
ResNet50,Fixed,0.05,jpeg,0.35179999996948247,0.8377333333333333,0.9229666666666667,6.696266666666666
ResNet50,Naive,0.05,clean,0.4754333332926432,0.9043333332519531,0.9513666666666667,6.2925
ResNet50,Naive,0.05,gaussian_noise,0.46763333333333335,0.9036666666259766,0.9537333333333333,6.4019
ResNet50,Naive,0.05,blur,0.3190333333231608,0.8230333332926433,0.9260333333333334,6.9402333333333335
ResNet50,Naive,0.05,brightness,0.37156666666666666,0.8501666665852864,0.9497333333333333,7.2156
ResNet50,Naive,0.05,erasure,0.3589333332926432,0.83599999995931,0.9247,6.7392666666666665
ResNet50,Naive,0.05,jpeg,0.35176666662597655,0.8377333332926433,0.9226,6.6847666666666665
ResNet50,APS,0.05,clean,0.4754333333129883,0.9043333332926433,0.9517333333333333,6.306666666666667
ResNet50,APS,0.05,gaussian_noise,0.4662333333129883,0.9013666665852864,0.9537666666666667,6.4133
ResNet50,APS,0.05,blur,0.31903333333333334,0.823033333251953,0.9262666666666667,6.9484
ResNet50,APS,0.05,brightness,0.3715666666361491,0.8501666666259766,0.9499666666666666,7.2293666666666665
ResNet50,APS,0.05,erasure,0.3555333333129883,0.839233333251953,0.9256333333333333,6.7385
ResNet50,APS,0.05,jpeg,0.35176666663614914,0.8377333333333333,0.9216,6.695166666666666
ResNet50,RAPS,0.05,clean,0.4754333333028158,0.9043333332519531,0.9524666666666667,6.290533333333333
ResNet50,RAPS,0.05,gaussian_noise,0.46686666666666665,0.9019333333333334,0.9534,6.372
ResNet50,RAPS,0.05,blur,0.3190333333231608,0.8230666666666666,0.9232333333333334,6.8557
ResNet50,RAPS,0.05,brightness,0.37156666666666666,0.8501333332926433,0.9456,7.099
ResNet50,RAPS,0.05,erasure,0.3608999999593099,0.8344666666259766,0.9241666666666667,6.6828
ResNet50,RAPS,0.05,jpeg,0.35176666662597655,0.8377333333333333,0.9198333333333333,6.634666666666667
ResNet50,Fixed,0.1,clean,0.4754333332926432,0.9043333332926433,0.9033666666666667,4.847833333333333
ResNet50,Fixed,0.1,gaussian_noise,0.46546666666666664,0.9019666666259766,0.9040666666666667,4.951733333333333
ResNet50,Fixed,0.1,blur,0.3190333333231608,0.8230666665852864,0.8576,5.543833333333334
