Model,Predictor,Alpha,Perturbation,Top1,Top5,Coverage,Size
DenseNet161,APS,0.05,erasure,0.38,0.854,0.931,6.519
DenseNet161,APS,0.05,jpeg,0.362,0.847,0.927,6.566
DenseNet161,RAPS,0.05,clean,0.514,0.925,0.951,5.656
DenseNet161,RAPS,0.05,gaussian_noise,0.485,0.913,0.942,5.745
DenseNet161,RAPS,0.05,blur,0.286,0.79,0.846,5.987
DenseNet161,RAPS,0.05,brightness,0.417,0.877,0.931,6.195
DenseNet161,RAPS,0.05,erasure,0.378,0.856,0.926,6.355
DenseNet161,RAPS,0.05,jpeg,0.362,0.847,0.919,6.379
DenseNet161,Fixed,0.1,clean,0.514,0.925,0.905,4.38
DenseNet161,Fixed,0.1,gaussian_noise,0.483,0.914,0.895,4.463
DenseNet161,Fixed,0.1,blur,0.286,0.79,0.771,4.871
DenseNet161,Fixed,0.1,brightness,0.417,0.877,0.881,5.006
DenseNet161,Fixed,0.1,erasure,0.373,0.857,0.87,5.107
DenseNet161,Fixed,0.1,jpeg,0.362,0.847,0.86,5.178
DenseNet161,Naive,0.1,clean,0.514,0.925,0.909,4.396
DenseNet161,Naive,0.1,gaussian_noise,0.48,0.913,0.896,4.491
DenseNet161,Naive,0.1,blur,0.286,0.79,0.772,4.89
DenseNet161,Naive,0.1,brightness,0.417,0.877,0.882,5.033
DenseNet161,Naive,0.1,erasure,0.379,0.856,0.872,5.129
DenseNet161,Naive,0.1,jpeg,0.362,0.847,0.861,5.201
DenseNet161,APS,0.1,clean,0.514,0.925,0.907,4.387
DenseNet161,APS,0.1,gaussian_noise,0.48,0.914,0.895,4.478
DenseNet161,APS,0.1,blur,0.286,0.79,0.771,4.876
DenseNet161,APS,0.1,brightness,0.417,0.877,0.882,5.017
DenseNet161,APS,0.1,erasure,0.376,0.855,0.869,5.111
DenseNet161,APS,0.1,jpeg,0.362,0.847,0.859,5.182
DenseNet161,RAPS,0.1,clean,0.514,0.925,0.905,4.346
DenseNet161,RAPS,0.1,gaussian_noise,0.484,0.913,0.891,4.421
DenseNet161,RAPS,0.1,blur,0.286,0.79,0.746,4.509
DenseNet161,RAPS,0.1,brightness,0.417,0.877,0.856,4.597
DenseNet161,RAPS,0.1,erasure,0.375,0.856,0.844,4.711
DenseNet161,RAPS,0.1,jpeg,0.362,0.847,0.83,4.68
VGG16,Fixed,0.05,clean,0.579,0.954,0.952,4.644
VGG16,Fixed,0.05,gaussian_noise,0.547,0.943,0.946,4.804
VGG16,Fixed,0.05,blur,0.368,0.85,0.913,6.169
VGG16,Fixed,0.05,brightness,0.508,0.926,0.956,5.589
VGG16,Fixed,0.05,erasure,0.396,0.867,0.919,5.766
VGG16,Fixed,0.05,jpeg,0.338,0.829,0.889,5.953
VGG16,Naive,0.05,clean,0.579,0.954,0.952,4.644
VGG16,Naive,0.05,gaussian_noise,0.549,0.944,0.947,4.8
VGG16,Naive,0.05,blur,0.368,0.85,0.913,6.173
VGG16,Naive,0.05,brightness,0.508,0.926,0.956,5.594
VGG16,Naive,0.05,erasure,0.395,0.868,0.916,5.756
VGG16,Naive,0.05,jpeg,0.338,0.829,0.89,5.955
VGG16,APS,0.05,clean,0.579,0.954,0.951,4.63
VGG16,APS,0.05,gaussian_noise,0.547,0.944,0.946,4.797
VGG16,APS,0.05,blur,0.368,0.85,0.912,6.156
VGG16,APS,0.05,brightness,0.508,0.926,0.956,5.579
VGG16,APS,0.05,erasure,0.39,0.87,0.918,5.757
VGG16,APS,0.05,jpeg,0.338,0.829,0.889,5.938
VGG16,RAPS,0.05,clean,0.579,0.954,0.949,4.51
VGG16,RAPS,0.05,gaussian_noise,0.547,0.944,0.946,4.665
VGG16,RAPS,0.05,blur,0.368,0.85,0.899,5.809
VGG16,RAPS,0.05,brightness,0.508,0.926,0.95,5.337
VGG16,RAPS,0.05,erasure,0.396,0.867,0.907,5.472
VGG16,RAPS,0.05,jpeg,0.338,0.829,0.876,5.65
VGG16,Fixed,0.1,clean,0.579,0.954,0.904,3.492
VGG16,Fixed,0.1,gaussian_noise,0.548,0.944,0.895,3.622
VGG16,Fixed,0.1,blur,0.368,0.85,0.842,4.806
VGG16,Fixed,0.1,brightness,0.508,0.926,0.905,4.262
VGG16,Fixed,0.1,erasure,0.396,0.868,0.842,4.427
VGG16,Fixed,0.1,jpeg,0.338,0.829,0.805,4.611
VGG16,Naive,0.1,clean,0.579,0.954,0.903,3.47
VGG16,Naive,0.1,gaussian_noise,0.548,0.943,0.894,3.605
VGG16,Naive,0.1,blur,0.368,0.85,0.84,4.776
VGG16,Naive,0.1,brightness,0.508,0.926,0.904,4.235
VGG16,Naive,0.1,erasure,0.398,0.868,0.843,4.413
VGG16,Naive,0.1,jpeg,0.338,0.829,0.803,4.582
VGG16,APS,0.1,clean,0.579,0.954,0.906,3.497
VGG16,APS,0.1,gaussian_noise,0.548,0.943,0.894,3.627
VGG16,APS,0.1,blur,0.368,0.85,0.842,4.81
VGG16,APS,0.1,brightness,0.508,0.926,0.906,4.271
VGG16,APS,0.1,erasure,0.397,0.869,0.845,4.453
VGG16,APS,0.1,jpeg,0.338,0.829,0.805,4.617
VGG16,RAPS,0.1,clean,0.579,0.954,0.9,3.277
VGG16,RAPS,0.1,gaussian_noise,0.547,0.944,0.886,3.361
VGG16,RAPS,0.1,blur,0.368,0.85,0.777,3.8
VGG16,RAPS,0.1,brightness,0.508,0.926,0.875,3.646
VGG16,RAPS,0.1,erasure,0.398,0.87,0.797,3.718
VGG16,RAPS,0.1,jpeg,0.338,0.829,0.748,3.778
ShuffleNet,Fixed,0.05,clean,0.376,0.833,0.947,7.489
ShuffleNet,Fixed,0.05,gaussian_noise,0.363,0.818,0.95,7.688
ShuffleNet,Fixed,0.05,blur,0.155,0.606,0.91,8.686
ShuffleNet,Fixed,0.05,brightness,0.277,0.743,0.931,7.886
ShuffleNet,Fixed,0.05,erasure,0.283,0.755,0.944,7.971
ShuffleNet,Fixed,0.05,jpeg,0.259,0.723,0.954,8.274
ShuffleNet,Naive,0.05,clean,0.376,0.833,0.947,7.451
ShuffleNet,Naive,0.05,gaussian_noise,0.361,0.819,0.949,7.637
ShuffleNet,Naive,0.05,blur,0.155,0.606,0.903,8.594
ShuffleNet,Naive,0.05,brightness,0.277,0.743,0.928,7.829
ShuffleNet,Naive,0.05,erasure,0.282,0.755,0.938,7.894
ShuffleNet,Naive,0.05,jpeg,0.259,0.723,0.949,8.203
ShuffleNet,APS,0.05,clean,0.376,0.833,0.945,7.45
